text,status,naer_general_rank,written_per_million,spoken_per_million,provenance_ids
或,provisional,88,1886.397590034042,471.3482158592819,naer:coct-general-frequency
過,provisional,89,1614.632886697144,1269.046903228618,naer:coct-general-frequency
像,provisional,90,1131.347864993584,2150.620054168455,naer:coct-general-frequency
前,provisional,91,1068.578575322125,594.8613381082358,naer:coct-general-frequency
可能,provisional,92,1067.919559315202,1792.933932957565,naer:coct-general-frequency
所,provisional,93,2081.430598299791,748.7719169532104,naer:coct-general-frequency
月,provisional,94,588.6997929796494,327.8984901329996,naer:coct-general-frequency
小,provisional,95,1239.700418469209,1308.0288267337,naer:coct-general-frequency
知道,provisional,96,1357.854842553831,1782.473079838873,naer:coct-general-frequency
可,provisional,97,1200.433386394047,236.5184817239749,naer:coct-general-frequency
啊,provisional,98,530.6984444185205,2871.433816598165,naer:coct-general-frequency
下,provisional,99,1294.648855528387,856.5233950412648,naer:coct-general-frequency
沒,provisional,100,1195.312117424583,1176.634882404296,naer:coct-general-frequency
表示,provisional,101,294.6119149022158,164.0899740322222,naer:coct-general-frequency
如果,provisional,102,1107.579619008952,1748.510489444554,naer:coct-general-frequency
家,provisional,103,932.1185921536323,1265.52867908556,naer:coct-general-frequency
嗎,provisional,104,984.9788218655716,1973.160828392613,naer:coct-general-frequency
比較,provisional,105,441.3858955766509,2556.247843035415,naer:coct-general-frequency
這些,provisional,106,1175.581336976342,1607.781523722236,naer:coct-general-frequency
問題,provisional,107,1100.151794015257,1136.480217518195,naer:coct-general-frequency
新,provisional,108,830.6221871355748,470.4569324097072,naer:coct-general-frequency
開始,provisional,109,969.5316454623303,1522.312131873549,naer:coct-general-frequency
者,provisional,110,1673.670398980002,308.1495252766344,naer:coct-general-frequency
給,provisional,111,948.355793769992,1475.824663529943,naer:coct-general-frequency
卻,provisional,112,1315.840587124507,435.6499682210541,naer:coct-general-frequency
各,provisional,113,954.5568961965823,602.7421601886856,naer:coct-general-frequency
大家,provisional,114,414.6560475368096,2050.139572642721,naer:coct-general-frequency
三,provisional,115,1203.140909988755,774.4784080251538,naer:coct-general-frequency
但是,provisional,116,857.7688826496747,1895.056252416727,naer:coct-general-frequency
位,provisional,117,1126.893551982934,935.9414413638926,naer:coct-general-frequency
呢,provisional,118,811.3122241375371,1977.570335985245,naer:coct-general-frequency
已,provisional,119,850.6943855151139,85.51630150392823,naer:coct-general-frequency
很多,provisional,120,435.5143011535222,2070.310724396253,naer:coct-general-frequency
全,provisional,121,696.8022379707197,539.6486738898467,naer:coct-general-frequency
一些,provisional,122,618.323753483629,2091.373159599359,naer:coct-general-frequency
非常,provisional,123,600.8558593242201,1885.064495850442,naer:coct-general-frequency
已經,provisional,124,968.8726294554073,1439.751138649789,naer:coct-general-frequency
吃,provisional,125,557.1503941421894,1733.171032180821,naer:coct-general-frequency
元,provisional,126,237.1743029253224,61.96765457306046,naer:coct-general-frequency
時間,provisional,127,839.6618223630692,1021.129375281136,naer:coct-general-frequency
事,provisional,128,1519.567842710506,530.6420200836184,naer:coct-general-frequency
於,provisional,129,1291.619763882107,202.0867947772479,naer:coct-general-frequency
工作,provisional,130,868.4004782312422,938.2400144706903,naer:coct-general-frequency
看到,provisional,131,624.1715280510857,1548.253171221696,naer:coct-general-frequency
日,provisional,132,367.591982705038,57.37050835946475,naer:coct-general-frequency
當,provisional,133,1037.187975522478,882.1829764579674,naer:coct-general-frequency
地方,provisional,134,550.4490747464888,1449.039250387462,naer:coct-general-frequency
真的,provisional,135,345.1179488785801,1872.539617901156,naer:coct-general-frequency
孩子,provisional,136,942.5834487454964,957.8482503613333,naer:coct-general-frequency
裡面,provisional,137,160.1210398026017,2221.922730134429,naer:coct-general-frequency
則,provisional,138,1003.772687990718,165.1688961027599,naer:coct-general-frequency
生活,provisional,139,837.863423259839,926.9816972129049,naer:coct-general-frequency
希望,provisional,140,470.1761611321134,845.4058067492018,naer:coct-general-frequency
一樣,provisional,141,745.4265033490022,1305.495705350698,naer:coct-general-frequency
內,provisional,142,722.8452801720207,279.0655390273555,naer:coct-general-frequency
第一,provisional,143,654.5378740568406,885.9826585324699,naer:coct-general-frequency
由,provisional,144,809.4820652267446,248.9026307075388,naer:coct-general-frequency
不會,provisional,145,684.6382316742587,1025.820340805213,naer:coct-general-frequency
還是,provisional,146,605.7945094001983,1224.342001784162,naer:coct-general-frequency
講,provisional,147,276.2507761551096,1789.931715022155,naer:coct-general-frequency
歲,provisional,148,513.7148873244405,514.0829117836256,naer:coct-general-frequency
太,provisional,149,714.4606909755043,963.4304993349851,naer:coct-general-frequency
之後,provisional,150,742.1790630257303,1141.546460284198,naer:coct-general-frequency
此,provisional,151,1111.311396397552,74.25798424614284,naer:coct-general-frequency
東西,provisional,152,552.3427532724064,1461.470309026267,naer:coct-general-frequency
發現,provisional,153,692.5186339257193,681.5034713379426,naer:coct-general-frequency
可是,provisional,154,431.0798380225994,1612.144121659628,naer:coct-general-frequency
